,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 750,21 Seats available,"4.4
517",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
1,P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 800,22 Seats available,"4.3
12",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
2,DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 999,17 Seats available,"4.0
311",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
3,National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08h 15m,799,15 Seats available,"4.4
23",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
4,P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,INR 1100,15 Seats available,"4.2
117",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
5,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,INR 799,38 Seats available,"4.2
348",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
6,SAAM BUS,VE A/C Sleeper (2+1),18:40,06:45,12h 05m,INR 800,13 Seats available,"4.1
200",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
7,AdP K Travels,Non A/C Seater / Sleeper (2+1),18:45,05:15,10h 30m,INR 799,12 Seats available,"3.8
60",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
8,NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,925,13 Seats available,"4.1
293",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
9,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,648,14 Seats available,"4.1
285",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
10,KSRTC (Kerala) - 2718,Super Fast Non AC Seater (2+3),13:50,20:00,06h 10m,INR 209,23 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
